round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,SCQ,AGP,Santiago de Compostela Airport,Málaga Airport
103.0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
96.0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
107.0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
87.0,SCQ,MAD,Santiago de Compostela Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,SCQ,MAD,Santiago de Compostela Airport,Adolfo Suárez Madrid–Barajas Airport
107.0,SCQ,PMI,Santiago de Compostela Airport,Palma De Mallorca Airport
5.0,SCQ,STN,Santiago de Compostela Airport,London Stansted Airport
103.0,SCQ,STN,Santiago de Compostela Airport,London Stansted Airport
103.0,SCQ,SVQ,Santiago de Compostela Airport,Sevilla Airport
103.0,SCQ,TFS,Santiago de Compostela Airport,Tenerife South Airport
97.0,SCQ,VIT,Santiago de Compostela Airport,Vitoria/Foronda Airport
